userName,score,content,at,intent
Deka Badai,5,"terlalu mudah untuk jadi afiliator, bermodal 600 fiolower bisa ber keranjang kuning. maka banyak afiliator, kalau semua pengguna yang folowernya diatas 600 bisa jadi afiliator, lalu siapa yang jadi pembeli? semestinya ada kriteria tertentu supaya lebih di seleksi lagi akun mana yang bisa jadi afiliator, misal dengan cara seleksi jawab pertanyaan kuis pertamyaan wawasan dan ilmu pengetahuan umum",2026-02-17 21:01:11,Account Issue
shaiiel 4i,2,"kdg sk bgt ya ngelag pas lg scroll tiktok, pdhl game lain jaringannya bagus, scroll apk lain jg bagus, cuman ni apk doang yg lag, gw pengguna wifi of course yg make bukan cmn gw, saudara gw pke buat scroll tik tok,bgus bagus aja, knpa dah hp gw doang yg tiktoknya lag, tlg kasi solusi y tiktok klau emg prgkat gw aja yg lag,ksi bntang sgni dlu y,kalau ad solusi gw naikkin ratingnya, thank you for giving the best",2026-02-17 21:01:09,Performance Issue
Dedek Kustiawan,5,trimaasih,2026-02-17 20:59:12,Unlabeled/Noise
Jakarta Barat,1,"sumpah kali ini tiktok ngeselin banget, aku lagi bahas masalalu pas masi sd karena aku ngebahas jaman jaman sd sama temanku, langsung kena batasan usia, terus disuruh verifikasi umur pakai ktp, dan aku sudah di verif pakai ktp tapi cuma dikasi 3 kali kesempatan, dan ketiganya gagal semua, akhirnya umurku jadi dibawah umur dan fitur chat dihilangkan, strike tiktok jadi mati dan komen vt hilang, sumpah ga lucu. tolong ai fotonya diperbaiki untuk detek fotonya dan kasi kesempatan foto lagi.",2026-02-17 20:59:10,Account Issue
Ramilah Ntx,1,gk bisa di download,2026-02-17 20:58:15,Unlabeled/Noise
Arjunawardani Wardani,5,Mohon iklan di hapus,2026-02-17 20:56:28,Unlabeled/Noise
aqila nurailin,5,semoga bermanfaat,2026-02-17 20:56:08,Unlabeled/Noise
Dani Ujng,1,"sangat kecewa dengan pihak tiktok,,kenpaa event potong harga saya di hilangkan padahal saya sudah menyelesaikan,,malah ilang begitu saja,,percuma perjuangan saya untuk event tersebut",2026-02-17 20:56:01,Monetization/Earning
Kayla Putri,2,ini tiktok kenapa yaa setiap saya lihat komentar tuh nggak bisa terus ada tulisan ngga ada internet sama ngga bisa liat akun orang dan akun sendiri karena loading Mulu padahal Wifi-nya lancar,2026-02-17 20:55:10,Account Issue
Santi Lestari,4,seru tapi sekarang banyak aturan nya agak kurang gitu,2026-02-17 20:53:04,Praise & Gratitude
YouToo Channel,1,di update baru ini kalo LG livestreaming di tiktok kita dari penonton game patah patah sebelum updatean yg baru ini nya normal. tolong segera diperbaiki ya tiktok. nanti kalo sudah normal bintangnya aku tambah terimakasih,2026-02-17 20:52:52,Performance Issue
Rivaldi Valdi,4,sangat seru,2026-02-17 20:51:41,Praise & Gratitude
kairynn,4,"aplikasinya sih bagus banget. bisa berkenalan dengan semua orang, tetapi aku itu gak suka banget sama bug atau semacam gangguan di tiktok seperti layar video tiktok tiba tiba hitam padahal itu di tempat terang, jumlam pengikut, suka, dan mengikuti tidak akurat, aku sudah coba beberapa cara buat memulihkan tetapi tetap saja hasilnya seperti itu. Mohon segara di perbaiki",2026-02-17 20:46:22,Technical Bug/Crash
Tasya Ramadhani,1,aplikasi sangat bagus tapi sayangnya saya belanja tidak pernah sampai ke saya,2026-02-17 20:44:34,Praise & Gratitude
Indah Merana,5,ok,2026-02-17 20:43:09,Unlabeled/Noise
Alam Alam,5,apkasli ini bagus,2026-02-17 20:42:18,Praise & Gratitude
Amel lia,1,"ajg ajg, susah di download padahal penyimpanan udah di sisain 1gb lebih, malah gabisa ajh lah",2026-02-17 20:41:09,Unlabeled/Noise
Rifca Icha,3,kenapa harus pembelian aplikasih aneh kata saya mah,2026-02-17 20:41:07,Unlabeled/Noise
yellow,4,saya suka aplikasi ini tapi kok aku sekarang GK bisa download ulng ya,2026-02-17 20:38:24,Praise & Gratitude
super nova,5,"ini tiktok gw kenapa ga bisa buka koment, profil sama favorit dah🗿",2026-02-17 20:37:59,Feature Complaint/Request
Neysa,2,"kenapa ya tiktok saya ga bisa buka komen, trus tdi saya instal dan download lagi masi sama padahal jaringan saya bagus, saya blum login loh padahal tiba-tiba suda login, aneh banget, burik bngt tiktok, bikin maless, perusak mood bngtt, tolong dongg aduhh. saya scroll jdi nya ga nyaman nihh gmn si gajelas banget, W PENGEN SCROLL KAYA BIASANYA PLIS ANTI LAG LAG, mana klo pake wifi ga bisa buka komentar dan yg lain, sedangkan pake kuota bisa bisa aja hadeh padahal jaringan wifi saya ga bermasalah.",2026-02-17 20:36:15,Account Issue
Marten Mangando,5,💯🇲🇨,2026-02-17 20:33:40,Unlabeled/Noise
Humaira Ahmad,2,kok nggak bisa di perangkat gue,2026-02-17 20:31:47,Unlabeled/Noise
I KOMANG BAGUS RAI SUWARJANA,1,jelek,2026-02-17 20:31:38,General Request/Complaint
Dudi Permana,5,mantap buat hiburan,2026-02-17 20:30:32,Praise & Gratitude
Muhamad Irwansah,2,kembali sendiri pas live,2026-02-17 20:27:27,Technical Bug/Crash
MOH KHOLIL,4,bagus,2026-02-17 20:23:21,Praise & Gratitude
Darmawan Wawan,4,Lumayan lama tapi bisa di tunggudan tidak terlalu lempy,2026-02-17 20:22:40,Unlabeled/Noise
Nijah Nasution,5,kadang agak di bikin kecewa,2026-02-17 20:21:01,General Request/Complaint
Mahyudin,5,bagus,2026-02-17 20:20:41,Praise & Gratitude
Budak angon Budak,3,ko tiktok sekarang gabisa buka komen DA bukan postingan ulang vidio ko sekarang jadi gini bug atau apa ini,2026-02-17 20:20:29,Technical Bug/Crash
Cahwedok Cahwedok123,5,bagus,2026-02-17 20:19:09,Praise & Gratitude
Ulfa Aljuamaita,1,tolong kembalikan fitur riwayat kunjungan profile nyaaa ya,2026-02-17 20:17:32,Feature Complaint/Request
ghiska metta alfianti,1,"ini kenapa si tiktok tiba tiba bgt ngelag padahal jaringannya lancar, tolong perbaiki dong.",2026-02-17 20:15:31,Performance Issue
Zai Ahmad,5,bagus,2026-02-17 20:11:35,Praise & Gratitude
Aisyah Avril Azzarah Azzahra,5,bagus,2026-02-17 20:10:29,Praise & Gratitude
Muhamad Faris,1,"gimana ini, tiktok saya eror tidak bisa memunculkan komentar padahal jaringan bagus tapi terdeteksi kalo saya tidak ada jaringan, dan tidak bisa mengirim laporan lewat aplikasi karena jaringan saya tidak terdeteksi padahal jaringan saya lancar dan tidak ilegal",2026-02-17 20:09:46,Feature Complaint/Request
Zahira Dini,5,"hai min,apk bagus ak suka tambahin fituurr tanggal,tahun min di posting ulangan sama like kaya hari ini,kemaren, Minggu lalu,bulan lalu,paling lama pls min pengin liat"" postingan ulang,like yang duluu bangett kita liatt pastii membantu bangett😭",2026-02-17 20:09:02,Praise & Gratitude
Jaka Tingkir,5,mantap,2026-02-17 20:08:23,Praise & Gratitude
Asiyah,1,"ngeselin, lama bgt ga muncul fitur potongan harga",2026-02-17 20:07:00,Feature Complaint/Request
Aisha05 Alina Rahman,5,seru,2026-02-17 20:06:23,Praise & Gratitude
Dian Rahma,5,ahhh tiktok ga adil masa temen temen aku ada fitur potong harganya tapi aku g ada,2026-02-17 20:05:19,Feature Complaint/Request
DARREN DAVI,5,bagus 👍,2026-02-17 20:04:36,Praise & Gratitude
Restu Putra Pratama,1,Ko iso,2026-02-17 20:04:21,Unlabeled/Noise
Edward Adam Taruna,2,"Akun diretas tiba"" ga bisa digunakan. Tidak ada jaringan internet. Keamanan tiktok tidak menjamin. Makin parah. Harus diviralkan bahaya ini.",2026-02-17 20:03:42,Account Issue
Galang Romadhon,5,top 1,2026-02-17 20:02:11,Unlabeled/Noise
Muhammad Azwar,1,"akun saya di band, padahal ga ngelakuin apa"" nick nya avary",2026-02-17 20:00:15,Account Issue
Umi Kulsum,3,aplikasi nya bagus tapi suka lag padahal memori Ku ruang nya banyak terus baru buka tik tok udah lag bagus cuma lag,2026-02-17 19:56:46,Performance Issue
nuraini fauziah,4,kok tiktok saya ga ada toko nya sih,2026-02-17 19:56:13,Feature Complaint/Request
seputra 321,5,tiktok video shopee ini emang luar biasa dari tiktok yang lain lebih canggih lagi untuk dipakai sendiri,2026-02-17 19:54:38,Performance Issue
ar_medchannel,2,knapa di apk saya blom muncul fitur paylater nya ..padahal saya transaksi mulu,2026-02-17 19:52:49,Feature Complaint/Request
Ronaldo Silalahi,5,aplikasi keren,2026-02-17 19:52:09,Unlabeled/Noise
Saparuzx,1,Ada bug link produk tak bisa di tambahkan,2026-02-17 19:51:33,Technical Bug/Crash
MUHAMMAD Fathan,3,banyak bug,2026-02-17 19:50:46,Technical Bug/Crash
Magnum Max,5,baik,2026-02-17 19:50:12,Unlabeled/Noise
Nor Hemah,5,oke bro,2026-02-17 19:50:05,Unlabeled/Noise
Jagoan Kaberangan (Jagoan kaberangan),5,sangat baik,2026-02-17 19:48:37,Unlabeled/Noise
kayla Jofita,2,tolong fitur tata letak nya ada yang bisa ada yang ga bisa,2026-02-17 19:48:28,Feature Complaint/Request
Siti Aisah,3,apk nya bagusss bangett tapii sayang nya ini terlalu banyak mb nya,2026-02-17 19:47:37,Praise & Gratitude
M Qubais Baba,5,bagus.,2026-02-17 19:45:29,Praise & Gratitude
Muchamad Harryono,1,padahal jaringan lancar tapi tetep muter muter buka komentar gabisa gabisa like vidio gabisa postingulang vidio gimana si ini tiktok,2026-02-17 19:44:28,Feature Complaint/Request
Shandi Maria,5,its real,2026-02-17 19:42:33,Unlabeled/Noise
Play Boy,5,hemm app nya gk ngelag suka banget dehh,2026-02-17 19:42:01,Performance Issue
Vivifira Diana,4,tiktok nya GK bahasa indonesia😐😐😐,2026-02-17 19:41:20,Unlabeled/Noise
Najid AldrichR,4,baik,2026-02-17 19:40:47,Unlabeled/Noise
Agnes Agnes Septiani faot,5,aplikasi play store nya terhapus dari hp jadi gimana dong,2026-02-17 19:40:31,Unlabeled/Noise
Rulboy Pamah,1,"yang baca chat ini,sudah lah lempar koin di room live,sudah banyak kreator keluarga di room live,pasang goodie back ribuan coin hanya untuk memancing penonton lempar coin tapi di saat 1minit akhir semua yang ada di komal mereka saling berbagi gift agar terbaca oleh algoritma tiktok karenah secara acak kontribusi yang ada di room,sepintar""nya tiktok membuat aplikasi tapi mudah di bodohin juga sama pengguna nya,lain lagi goodie back pakai kunci,makanya korun udah jarang dipakai mengundang penonton",2026-02-17 19:39:50,Performance Issue
Slamet Harja,5,Bagus,2026-02-17 19:39:17,Praise & Gratitude
Nayla Muazzara,5,"Bgss bngtt, tpi ak gasuka klo mau kluar live itu nglek",2026-02-17 19:37:19,Praise & Gratitude
Diah Setiorini,5,bagus bgt,2026-02-17 19:37:01,Praise & Gratitude
safira Zahra,5,bagusss enakk juga hahahah,2026-02-17 19:36:23,Praise & Gratitude
kita dapet,5,ok,2026-02-17 19:33:56,Unlabeled/Noise
Mbunn,4,bagus,2026-02-17 19:32:39,Praise & Gratitude
Nabil Khalif Andico,1,kenapa harus ada pembatas san usia mau ngaplot vidio gak bisa,2026-02-17 19:32:33,Unlabeled/Noise
Pitri Handayani,5,karena asikkk bangettt,2026-02-17 19:32:09,Praise & Gratitude
Syahla Melita,2,banyak orang dong*,2026-02-17 19:30:45,Unlabeled/Noise
Zando,3,kenapa tiktok saya ga ada tokonya??,2026-02-17 19:30:02,Feature Complaint/Request
Hilmi,2,makin di update malah makin rusak ni app jadi boros banget baterai sama banyak bug nya,2026-02-17 19:29:51,Technical Bug/Crash
Khayla Almira M,3,Aplikasi nya bagus 👍👌tapi ada beberapa yg kurang 😐,2026-02-17 19:28:15,Praise & Gratitude
Nenek Dika,5,bagus,2026-02-17 19:26:52,Praise & Gratitude
Nurma Ayu,3,"tolong kok akun saya ikon shop nnya ga ada ya mau buat beli beli susah tiktokshop nya ga ada sudah berapa kali update ini ga muncul""",2026-02-17 19:26:13,Account Issue
Kartika Damayanti Tarigan,1,gk ada shop nya,2026-02-17 19:25:29,Feature Complaint/Request
Putri Mawar,5,saya suka sekali dengan tiktok,2026-02-17 19:21:24,Praise & Gratitude
Asal jadeh,5,Bagus,2026-02-17 19:20:56,Praise & Gratitude
Amirah Nuraini,5,bagusss jadi ga gampang bosen,2026-02-17 19:19:48,Praise & Gratitude
stokgurundapzystecu,1,karena akun saya sdh banyak sekali terkena block padahal saya tidak melakukan apa apa sdh 3 akun saya terkena block dan saya tidak tau jga apa yg saya lakukan,2026-02-17 19:19:14,Account Issue
Yoel Marsel,1,isi tiktok full monyet dongo,2026-02-17 19:14:59,Unlabeled/Noise
K ENZI,5,ini sangat menghibur,2026-02-17 19:14:30,Unlabeled/Noise
PMDA team,2,"bagus tpi kenapa setiap aku upload viewsnya ngestuck di 0? kalo 200 mah masih mending lah ini 0, udh nunggu berjam jam masih 0, ini gimana sih tiktok",2026-02-17 19:13:09,Praise & Gratitude
hana imti,1,sebenarnya aplikasi ini bagus hanya saja tidak ada pengeditan vidio,2026-02-17 19:12:06,Account Issue
Popi Monica,4,"aplikasi sudah bagus, cuma kok punya saya ngebug",2026-02-17 19:10:45,Technical Bug/Crash
nazla nurarkania,3,knp kalo aku mau foto di tiktok kadang bisa kamera depan kadang engga tolong perbaiki terus knp aku ga bisa foto 4 tolong perbaiki ya😭😭😭,2026-02-17 19:10:43,General Request/Complaint
Sugiarno,1,ngelag mulu anj,2026-02-17 19:10:29,Performance Issue
Sarah nur Assyifa,5,velocity nya kedat kedut,2026-02-17 19:09:37,Unlabeled/Noise
カーンうちは•,4,"Pls ini sangat lag, pls jangan lag saya muak",2026-02-17 19:07:52,Performance Issue
Muhammad Aditya,1,"ini kenapa buka komen ngelag, buka postingan ulang ngelag, buka vidio yang disimpan ngelag, buka vidio yang di sukai ngelag bahkan buka kamera juga ngelag padahal srol vidio di beranda aman aman aja gak ngelag sama sekali, ni gimana woy tik tok",2026-02-17 19:04:50,Performance Issue
Fajar Maulana,5,sangat bagus,2026-02-17 19:04:32,Praise & Gratitude
Rina nurul fitriah,4,it's okay👍,2026-02-17 19:02:43,Unlabeled/Noise
Amrizal Ali amrizal,5,terima kasih gogil,2026-02-17 19:00:31,Unlabeled/Noise
Amanda Nafisah,2,tidak ada fitur posting ulang dan pesan langsung,2026-02-17 19:00:06,Feature Complaint/Request
Aansolgun Solgun,3,tiktok ku ga bisa di update harus update 3 kali,2026-02-17 18:58:42,Feature Complaint/Request
RyanRabbani,4,"haloo tiktok, kenapa pada fyp tiktokku tidak sesuai dengan apa yang aku inginkan. maksudku bukankah fyp akan otomati mengikuti apa yang sesuai dengan apa yang kita like ataupun cari, dan selalu muncul video random yang tidak matching denganku. bukankah dulu fyp selalu mengikuti apa yang kita sukai? Terimakasih..",2026-02-17 18:58:37,Praise & Gratitude
Asri Aulia,4,"aplikasi sering ngebug, suka gak bisa like vt orang, gak bisa baca komen, gak bisa liat pengikut, terus gak bisa liat kotak masuk juga, padahal jaringan, wifi sama datanya udah lancar banget",2026-02-17 18:58:26,Technical Bug/Crash
agus setiyono,4,apk nya bagus.tapi saya akan memberikan beberapa saran 1.tolong adakan fitur hapus repost secara langsung agar tidak perlu menghapus secara manual 2.tolong jangan biarkan orang asing chat kita sebelum follow kita. segitu saja terimakasih🙏🏻.HARAP DI JAWAB,2026-02-17 18:57:46,Feature Complaint/Request
Imam Sauki,5,mkasih,2026-02-17 18:57:44,Unlabeled/Noise
LUKI AHDIASYAH,1,"POKOK NYA BINTANG 1 SEMENJAK UPDATE GABISA BUKA KOMEN, TERUS NOTIF PEMBERITAHUAN GA MUNCUL TERUS SERING KELUAR SENDIRI, SELALU GAGAL DALAM JARINGAN PADAHAL JARINGAN BAGUS",2026-02-17 18:57:40,Technical Bug/Crash
KND DRAMA,2,"apa ini min tiap posting vidio mentok 60% setelah itu ngak bisa,, tiktok di update tambah parah ngak kayak dulu lagi, ngak bisa posting vidio cepat perlu 5menit itu pun singalnya bagus ngak jelek dimana kalau singalnya ngak ada, ngak bisa unggah vidio",2026-02-17 18:57:22,Performance Issue
jeyysa salwa Alexsa,3,"kenapa ya setiap scroll suka tiba tiba video nya ga ke puter padahal jaringan bagus wifi lancar, tapi nonton live lancar kalo video di fyp ga muter, harus di hapus dulu, trs download lagi baru bisa kan cape gitu trs mah, padahal memori ga penuh",2026-02-17 18:56:36,Performance Issue
Rhevan,5,aplikasi nya sangat bagus sampai saya nonton sampai tidur,2026-02-17 18:54:10,Praise & Gratitude
Berkah Chanel,1,baru update kemaren tanggal 12 sekarang udah update lagi..😇😇,2026-02-17 18:53:49,Performance Issue
Fris Ka,1,"belanja di tiktok skarang sangat buruk banyak penjual nakal dengan mengirimkan produk palsu dan kita mengajukan pengembalian di tinjau dan toko slalu menolak ,sekarang banyak penjual nakal yang merugikan pembeli",2026-02-17 18:53:34,Feature Complaint/Request
Anisa Isra,5,banyak ilmu 🥰,2026-02-17 18:52:21,Praise & Gratitude
Dian dina,5,aplikasi smngt bgus,2026-02-17 18:51:54,Unlabeled/Noise
Dewi asi Wulandari,5,"baikk baguss bgtt, tapi kenapa di akun saya dua² ny gak ada muncul event potong harga yaa🥲pdhl kalau belanja di tiktok selalu bnyk promonya trs gk pernah ketipu sama barang² nya",2026-02-17 18:50:48,Account Issue
Tri Astutik,5,bagus,2026-02-17 18:50:43,Praise & Gratitude
Zaenab Zea,1,knp kok apk nya gak bisa yaa ada kesalahan apa di apk nya sampai saya coba 2x donwlod tetep gak bisa tolong di perbaiki apk nya agar semua hp bisa donwlod tiktok,2026-02-17 18:50:27,General Request/Complaint
Ariska Riska,5,ok,2026-02-17 18:49:56,Unlabeled/Noise
indra Rizky,1,"aplikasi kadang lag brutal, fiturnya oke sih, tapiii minimal kalo mau blokir akun orang kasih tau dulu dong, akun saya udah ada banyak like, follower, ada temen saya lagi, tapi tiba tiba di blokir😌 tanpa pemberitahuan dan alasannya, ni gimana ya cara mengembalikannya?😑 kalo udah bisa balik saya kasih b5",2026-02-17 18:48:19,Account Issue
Muhamad Al hafis,1,woi umur gw 14 tahun gw gak sengaja verifikasi nya 13 tahun plis jangan hapus akun gw tiktok itu cuman kesalahan yang gw alami umur gw 14 akun tiktok ku hafis_strom_Chaser,2026-02-17 18:47:19,Account Issue
Sanah Zz,5,aplikasi nya bagus bangett🤭,2026-02-17 18:44:50,Praise & Gratitude
Dimas Gambyok,2,"lu kalo niat pelit bikin event,mending gak usah.",2026-02-17 18:44:31,Monetization/Earning
Keyla Ila,5,bagussss,2026-02-17 18:44:30,Praise & Gratitude
Banafsha Nazma,4,tolong updaten logo potong harga yaa karna di akun ku gaada,2026-02-17 18:44:06,Account Issue
Likin Kin,5,bagus oke,2026-02-17 18:42:29,Praise & Gratitude
Margiyatno,5,"app ⭐⭐⭐⭐⭐best, live tambah translat langsung ,biar tahu kpn bisa kirim hadiah",2026-02-17 18:41:21,Monetization/Earning
Styven Simbolon,5,aplikasi nya sangat bagus banyak fiturnya,2026-02-17 18:40:56,Feature Complaint/Request
rendol 96,5,min tolong jangan blokir akun tiktok saya 🙏🏻🙏🏻,2026-02-17 18:40:31,Account Issue
Dera Sakilla,1,"TOLONG DONG BENERIN LAGI BUG NYA, MASAA LAGI BUKA PROFIL TIBA TIBA KELUAR DARI APKNYA TERUS JUGA MAU NAMBAH BARANG DI SHOWCASE KELUAR JUGA DARI APK NYA, INI GIMANA TIKTOK TOLONG DI PERBAIKI",2026-02-17 18:40:04,Technical Bug/Crash
Beber Pagedangan,4,"bagus bngt ,TPI syngny KLO pertama buka Tik tok tuh login nya lama banget",2026-02-17 18:39:31,Account Issue
Agil,3,"saran buat tiktok tambah / ganti expedisi saya asal pesen paket lewat tiktok shop tidak pernah sampai dikealamat saya,,, / paket nya selalu ke retur,,, padahal alamat saya jelas tapi paket tidak sampai",2026-02-17 18:37:24,Feature Complaint/Request
Shakira Abi,1,suka keluar sendiri aneh dn bkin kesel,2026-02-17 18:36:45,Technical Bug/Crash
Balqis Farisa,1,"bapuk ni tiktok, event 100 perak tapi per orang dkit banget, perasaan dulu kaga, benerin dulu dh kata gua mah",2026-02-17 18:35:03,Account Issue
Muhamad sapii Iman sapii,5,assalamualaikum warahmatullahi,2026-02-17 18:34:56,Unlabeled/Noise
Muh Alif,1,apk nya bagus guanya aja yang jahat,2026-02-17 18:33:35,Praise & Gratitude
Zahya Naizar,1,"kenapa saya pas buka notif kayak dm, like kok kosong, padahal kemaren saya masih bisa tu kirim pesan, mbikin streak, sekarang gabisa, kayak ke reset semua, terus liat posting ulang gabisa, katanya kesalahan jaringan, liat folowers juga sama, padahal buat aplikasi lain masi bisa, terus saya mau laporkan masalah, malah kesalahan jaringan juga, tolong dong kenapa ini",2026-02-17 18:32:47,General Request/Complaint
AAD,1,abis update sering nge freeze,2026-02-17 18:32:06,Feature Complaint/Request
Rarampa Bae,5,"Aplikasi ini sangat bagus,tapi suka ngelag",2026-02-17 18:29:48,Performance Issue
S Lak,1,banyak bug,2026-02-17 18:28:56,Technical Bug/Crash
Beckett Leach,1,"kebanyakan iklan judi, gaje nih tiktok lama lama",2026-02-17 18:28:25,Unlabeled/Noise
annisa maulida,5,"bBbagus sskali ,😂🥰😍😘👆🏻 bnayk pidiyo lucu juga",2026-02-17 18:28:10,Praise & Gratitude
Drally Yati,5,Dengan tiktok selain memperbanyak teman bersilaturahmi lewat medsos. juga bisa buat usaha dan belanja apapun yg disukai cepat aman dan,2026-02-17 18:27:56,Praise & Gratitude
Ida Farida,1,sya mau komplain nh ke pihak tiktok sya hrus komplai kmn nh,2026-02-17 18:27:14,Unlabeled/Noise
Roh Mann,1,apk lelet apa² suruh login tapi begitu login lelet sampek sekarang login aja gak bisa,2026-02-17 18:25:27,Account Issue
M Rochim,5,⭐⭐,2026-02-17 18:24:13,Unlabeled/Noise
Dwi Aditia,1,"Ada akun yang berisisi ttg konten seksual setiap di blok ada lagi akun yg lain yg serupa, gimana ni ??",2026-02-17 18:22:45,Account Issue
Kirana azalia,1,tiktok nya ngelek terus,2026-02-17 18:21:36,Unlabeled/Noise
Zein Altar,4,saya ingin mendapatkan uang di tiktok semoga pihak tiktok merekomendasikan saya.aamiin,2026-02-17 18:20:57,Feature Complaint/Request
anakk baikk,1,"sok² buat ivent 100 perak,, udh ngabisin waktu,, pas misi berhasil ga bisa di co,, bukan 1/2 barang aja udh selesai misi malah ga bisa di co, apk scam.",2026-02-17 18:19:11,Unlabeled/Noise
Muhammad Biagi Deswantoro,1,"Tiktok saya malah ga muncul notifikasi terbaru. yang muncul malah notifkasi dari tahun2 sebelumnya.. Tolong diperbaiki, komentar dari orang lain juga ga muncul. Sudah di cleae chace sama aja",2026-02-17 18:18:49,Feature Complaint/Request
ama Geulis,5,sangat berguna,2026-02-17 18:18:39,Unlabeled/Noise
nindya zidni,1,"di update kok malah gabisa posting ulang si, trus nge lag liat komentar memuat ulang bukannya makin bagus malah makin buruk. ngirim vt pun jd cuma 10 org doang ribet, tolong banget ada in lagi posting ulang+komen tidak memuat+tidak ngelag+ngirim vt banyakin!!!",2026-02-17 18:18:37,Performance Issue
wabil Gaminggg,5,tiktok ini mantap,2026-02-17 18:18:18,Praise & Gratitude
Sabili Bc,5,bagus sihh tapi adalah pokoknya,2026-02-17 18:16:46,Praise & Gratitude
rara tiara,5,Tolong yang event tiktok per undang jangan 100 perak lama banget ngerajainnya,2026-02-17 18:14:25,Monetization/Earning
Masha Saqhila,3,ga bisa posting ulang,2026-02-17 18:13:59,Unlabeled/Noise
rr`,5,bagus bagus sangat sayang sama tik rok,2026-02-17 18:13:39,Praise & Gratitude
vina Inazatun,5,𝒔𝒆𝒓𝒖𝒖𝒖,2026-02-17 18:11:58,Unlabeled/Noise
Syifa Altafunisa123,5,"plss ini aslinya bagus tapi tiba² kyk bug gitu gbisa liat komen,akun gara² katanya gk ad koneksi pdhl di apk lain lancar bgt pls kasi solusii cepett udh pgn nangis ini aku :(",2026-02-17 18:11:49,Technical Bug/Crash
matchaww,3,"baguss bangett sih, vt² nya juga lucu², tp kenapa yah? di akun satu ku bisa posting ulang, setelah buat akun kedua ga ada fitur posting ulang (tolong di perbaiki bug ini yaa)",2026-02-17 18:11:20,Technical Bug/Crash
ARDI Ansyah,1,apk susah masuk,2026-02-17 18:10:24,Account Issue
Xytzer66 Xytzer66,1,bug terus ni apk,2026-02-17 18:09:15,Technical Bug/Crash
Gagal Sarjana muda,3,nyoba dulu kalau bagus full bintang,2026-02-17 18:08:30,Praise & Gratitude
Sofian Ian,5,ini sangat bagus ada vidio offline nya jugaaa sangat mantap,2026-02-17 18:08:05,Praise & Gratitude
Nasrudin Syahrul,1,bgus sekalii,2026-02-17 18:05:18,Unlabeled/Noise
Yusuf Yusuf,5,bagus,2026-02-17 18:04:42,Praise & Gratitude
narendra pp,1,"wifi lancar sinyal lancar tapi di aplikasi terdeteksi anda sedang offline, BINTANG 1 AJA",2026-02-17 18:04:06,Unlabeled/Noise
ida Rania,2,"makin update makin gila poto profil orang orang gak bisa kulihat gak ada Poto nya niat update gak sihh gimana makin gila GK bisa liat poto profil orang dan video yang kita posting ulang gak keliatan kalo kita udah posting ulang di akun kita kalo di akun orang keliatan gak warass.. yang waras kek thats simpleee,😡😡",2026-02-17 18:03:07,Account Issue
Taufan Dolfan,5,mantap,2026-02-17 18:03:07,Praise & Gratitude
Hairul Fatoni,2,jangan tungu lama2,2026-02-17 18:00:27,Unlabeled/Noise
Bs Kalapa,5,"tiktok tuh enak keun lah, cuman keselnya tuh suka keluar tiba tiba, cuma minta tolong di perbaiki😉",2026-02-17 17:58:54,Praise & Gratitude
Kurniawan Agus Priyanto,1,akun saya tiba2 ditangguhkan gak ada peringatan dan saya pun tidak melakukan pelanggatan... aneh,2026-02-17 17:55:44,Account Issue
Dera Anggraini,4,punyaku gak ada even potong harga!!!,2026-02-17 17:54:13,Unlabeled/Noise
Mulyadi,1,selalu keluar sndiri kyk gilak,2026-02-17 17:52:33,Unlabeled/Noise
Abid AF,3,tolong ini aplikasih berar banget tapi akhirnya terbayar kan juga 😭,2026-02-17 17:52:02,General Request/Complaint
Wardiati,5,berekspresi dan menghasilkan,2026-02-17 17:51:21,Unlabeled/Noise
Nadia Alesha,4,agak lelet sih tapi lumayan,2026-02-17 17:51:12,Performance Issue
Debi Astuti,5,seru pokoknyaaa dehh harus download sii wajibb,2026-02-17 17:49:58,Praise & Gratitude
Naila Maylin,5,kerenn banguttttt🥰,2026-02-17 17:49:03,Praise & Gratitude
Aris Handoko,5,bagus,2026-02-17 17:48:21,Praise & Gratitude
Eri Handayani,4,"Bagus sekali,aku sangat tidak menyesal:)",2026-02-17 17:46:07,Praise & Gratitude
ngadino motor,4,bagus sih tapi agak gimana gitu,2026-02-17 17:45:03,Praise & Gratitude
amelia meitha,2,parah banget udah 2 hari gabisa baca komentar gimanasi tolonglah diperbaiki,2026-02-17 17:44:38,Feature Complaint/Request
SM Zaidan,5,Karena bisa chatan kalau gk ada whatsapp,2026-02-17 17:44:12,Unlabeled/Noise
Toto Daryanto,5,Seru kalo lagi mager,2026-02-17 17:42:28,Performance Issue
Erick cihuy,1,aplikasi pemberat memori hp,2026-02-17 17:41:41,Performance Issue
disty,1,di akun gw nggk ada event potong harga...dah berapa kali liat akun temen ada huh,2026-02-17 17:40:36,Account Issue
Ponima jepara,5,tiktok memang bagus,2026-02-17 17:40:26,Praise & Gratitude
Kasino Adi Kasino adi,1,aplikasi nya bagus tapi saya saranin buat bisa menghapus posting ulang,2026-02-17 17:36:23,Praise & Gratitude
Moh Rizqi,1,iklan yg buruk,2026-02-17 17:34:37,Unlabeled/Noise
Ilham mp,1,ga serus sekarang tiktok potonganya sadis cuman beberapa perak doang dasar pelit,2026-02-17 17:34:14,Praise & Gratitude
Dadi arik,5,manntap,2026-02-17 17:29:59,Unlabeled/Noise
